1 1234 5678 ABCD 2019-12-14
2 03BA 1700 1103 2019-12-23
3 03BA 1700 1003 2019-12-23
4 03B9 1700 0F03 2019-12-23
5 03BA 1700 0B03 2019-12-23
6 03BA 1700 A002 2019-12-23
7 03B9 1700 2902 2019-12-23
8 03BA 1780 C001 2019-12-23
9 03BA 1780 1003 2019-12-23
10 03BA 1780 1703 2019-12-23
11 03BB 1800 7806 2019-12-23
12 03BA 1880 7806 2019-12-23
13 03B9 1880 6106 2019-12-23
14 03BA 1880 9406 2019-12-23
15 03BB 1880 9407 2019-12-23
16 03BA 1900 600B 2019-12-23
17 03B9 1900 E509 2019-12-23
18 03BA 1900 9506 2019-12-23
19 03BB 1900 7E06 2019-12-23
20 03BA 1900 9106 2019-12-23
21 03BB 1A00 2906 2019-12-23
22 03BA 1A00 2C06 2019-12-23
23 03BA 1A00 EC2E 2019-12-23
24 03B9 1A00 1106 2019-12-23
25 03BC 1A80 1706 2019-12-23
26 03BA 1A80 1D06 2019-12-23
27 03CA 1880 9401 2019-12-23
28 03CB 1880 8A01 2019-12-23
29 03CB 1880 9D01 2019-12-23
30 03CB 1900 F600 2019-12-23
31 03C9 1900 6004 2019-12-23
32 03CA 1900 4A1A 2019-12-23
33 03CB 1900 C01A 2019-12-23
34 03C9 1980 EB01 2019-12-23
35 03CC 1980 7500 2019-12-23
36 03CC 1980 6A00 2019-12-23
37 03CA 1980 6400 2019-12-23
38 03CC 1980 E400 2019-12-23
39 03CB 1980 9501 2019-12-23
40 03CA 1A00 9E01 2019-12-23
41 03CB 1A00 9E01 2019-12-23
42 03CC 1A00 A801 2019-12-23
